0.00000000000000e+00 1.000e+00
-1.22197503796376e+07   inf
-1.18236707551691e+07 3.241e-02
-1.17606149507851e+07 5.333e-03
-1.17244753110453e+07 3.073e-03
-1.16957391280685e+07 2.451e-03
-1.16767869960767e+07 1.620e-03
-1.16625146405372e+07 1.222e-03
-1.16503872155063e+07 1.040e-03
-1.16397038758101e+07 9.170e-04
-1.16316430928759e+07 6.925e-04
-1.16240562753354e+07 6.523e-04
-1.16189124656760e+07 4.425e-04
-1.16121511752437e+07 5.819e-04
-1.16068091287751e+07 4.600e-04
-1.16022105755367e+07 3.962e-04
-1.15978233822619e+07 3.781e-04
-1.15955503405687e+07 1.960e-04
-1.15906583550280e+07 4.219e-04
-1.15871531756766e+07 3.024e-04
-1.15836768696275e+07 3.000e-04
