0.00000000000000e+00 1.000e+00
-1.02545396488944e+07   inf
-9.83567409481935e+06 4.085e-02
-9.76362881470940e+06 7.325e-03
-9.72454671502921e+06 4.003e-03
-9.70119042070934e+06 2.402e-03
-9.68343383986662e+06 1.830e-03
-9.67149887733532e+06 1.233e-03
-9.66164274700967e+06 1.019e-03
-9.65323720408416e+06 8.700e-04
-9.64717158135802e+06 6.284e-04
-9.64249138870084e+06 4.851e-04
-9.63719252435801e+06 5.495e-04
-9.63290434869366e+06 4.450e-04
-9.63006975227438e+06 2.943e-04
-9.62722907436091e+06 2.950e-04
-9.62402268900276e+06 3.331e-04
-9.62116211542106e+06 2.972e-04
-9.61861670669626e+06 2.646e-04
-9.61624005483744e+06 2.471e-04
-9.61433727346952e+06 1.979e-04
