,index
1058,1058
1065,1065
1114,1114
1085,1085
1100,1100
1144,1144
1080,1080
1066,1066
1081,1081
1132,1132
1073,1073
1097,1097
1096,1096
1084,1084
1057,1057
1110,1110
1075,1075
1061,1061
1091,1091
1049,1049
1116,1116
1105,1105
1053,1053
1145,1145
1140,1140
1124,1124
1125,1125
1107,1107
1093,1093
1115,1115
1121,1121
1119,1119
1070,1070
1099,1099
1133,1133
1117,1117
1106,1106
1062,1062
1069,1069
1072,1072
1135,1135
1143,1143
1122,1122
1060,1060
1147,1147
1136,1136
1109,1109
1059,1059
1071,1071
1056,1056
1051,1051
1086,1086
1064,1064
1076,1076
1129,1129
1104,1104
1082,1082
1123,1123
1095,1095
1130,1130
1126,1126
1251,1251
1228,1228
1172,1172
1266,1266
1230,1230
1247,1247
1252,1252
1178,1178
1213,1213
1210,1210
1268,1268
1259,1259
1212,1212
1202,1202
1167,1167
1188,1188
1205,1205
1198,1198
1211,1211
1182,1182
1203,1203
1175,1175
1176,1176
1151,1151
1249,1249
1239,1239
1232,1232
1204,1204
1220,1220
1196,1196
1223,1223
1168,1168
1229,1229
1217,1217
1165,1165
1170,1170
1246,1246
1197,1197
1257,1257
1159,1159
1236,1236
1161,1161
1216,1216
1149,1149
1164,1164
1269,1269
1270,1270
1234,1234
1226,1226
1177,1177
1192,1192
1206,1206
1245,1245
1261,1261
1191,1191
1155,1155
1174,1174
1173,1173
1163,1163
1190,1190
1231,1231
1255,1255
1221,1221
1148,1148
1265,1265
1208,1208
1225,1225
1209,1209
1233,1233
1181,1181
1195,1195
1193,1193
1256,1256
1237,1237
1189,1189
1253,1253
1160,1160
1201,1201
1244,1244
1242,1242
1169,1169
1200,1200
1240,1240
1227,1227
1187,1187
1258,1258
1218,1218
1260,1260
1262,1262
1219,1219
1166,1166
1185,1185
1224,1224
1222,1222
1179,1179
1199,1199
1186,1186
1250,1250
1263,1263
1235,1235
1214,1214
1171,1171
1207,1207
1153,1153
1243,1243
1248,1248
1254,1254
1183,1183
1194,1194
1264,1264
1241,1241
1162,1162
1152,1152
1180,1180
1154,1154
1267,1267
1184,1184
1215,1215
1238,1238
1048,1048
1039,1039
1033,1033
1029,1029
1037,1037
1036,1036
1034,1034
1047,1047
1043,1043
1041,1041
1035,1035
1042,1042
1040,1040
1030,1030
1046,1046
1032,1032
1045,1045
1038,1038
1044,1044
529,529
471,471
485,485
599,599
477,477
486,486
598,598
560,560
494,494
630,630
461,461
558,558
605,605
549,549
634,634
481,481
464,464
591,591
566,566
629,629
636,636
619,619
618,618
543,543
582,582
551,551
621,621
552,552
583,583
479,479
532,532
638,638
462,462
628,628
597,597
581,581
535,535
522,522
538,538
594,594
624,624
493,493
478,478
527,527
610,610
579,579
482,482
526,526
506,506
561,561
622,622
643,643
497,497
617,617
573,573
548,548
584,584
